Who's there?
OH SHIT!
OH SHIT!
Crazy utahraptor!!
THAT'S RIGHT!
For profits!
Descartes' girlfriend!
I agree!
T-REX EXPLAINS:
You're welcome!
the end
SECONDS LATER:
the end.
1) "Sated"!
i.e.: Me
Rock star!
ROCK STAR
Zombie whales!
What?! Seriously?
Hells yes!
I guess!
SECONDS LATER:
Meat party!
MEAT PARTY!!
THE PRESENT
THE END
MODERN STENOGRAPHY
THE END
That's true.
It's true!
SO AWESOME!!
Oh, alright!
Like what?
I know!
Hi, T-Rex!
I have!
Me neither!
Peter: unkind.
Maybe... chicken?
Also delicious!
What? No!
hah hah!!
SHOULD BE
PRETTY NEAT
Pretty neat?
Pretty NEAT!?
What happened?
What was?!
and WORDS
MAYBE NOT
But T-Rex!
Yes !
Yes !
sorry horses
THEY'RE FUNNY.
POSTER: PROTONOSTALGIA
For instance:
You do?
Of course!
I haven't!!
They're terrible!
So plausible!
Holy hopscotch!
Of course!!
I guess?
<rex> hey
<rex> OGC
<rex> hahaha
<rex> hey
Dino babies!
I didn't!
HEY T-REX
MOST DEFINITELY
God asked!
SO UH
THAT'S SOMETHING
But Utahraptor!
WOO HOO
TUDOR ENGLAND:
THE END
For what?
The end!
Classy, dude!
How INTRIGUING!
It's okay.
THAT EVENING:
What? How?
I know!
MUCH LATER:
Hey, Utahraptor!
Well "#8212;
ELECTION COMICS
THE END
UH HUH
UH HUH
HALLOWE'EN NIGHT:
Also good!
Not bad!
My apologies.
Holy cow!
You're screwed!
I'm screwed!
I'm gonna!!
AND ADULTS
I GUESS
WAIT WHAT
THIS MORNING:
Hey buddy!
What book?
Next time!
That SUCKS.
Sure did!
Pretty ridiculous?
Sure! 
Sure did!
Oh man!
Well... MAYBE.
Aw boo!
the end
FRUSTRATION COMICS
THE END
Me too!
Not always!
T-REX IN
That's true!
SOON: 
Sure thing?
Like what?
Poor Al!
Right on!
Pretty okay!
Science dudes!
Okay, T-Rex!
Okay then!
NO PROBLEM.
No, man!
I'm not!
...Kiss whom?
Uh, no.
Apparently not?
DO ME
Do me!
Blind people!
Sure do!
FROM HISTORY
the end
Sure do!
I'm listening!
LOVE COMICS
SEX COMICS
I see!
THE END
Guys, guys!
That's stupid.
BOO HOO.
Hah hah
Woo hoo!
Tertiary-butyl mercaptan.
Tertiary-butyl mercaptan!
I don't!!
THE END
Oh, excellent!
today's film:
I know!
Thanks, ladies!
Huh? What?
Hey, T-Rex!
You're welcome!
I see.
What's that?
